Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
"BHP","2013-03-01","00:00:00.000","ENTER","37.050","20","0","741","","0","6239528655688021748","","B","","","","677",""
"BHP","2013-03-01","00:00:00.000","ENTER","37.020","950","0","35169","","0","6239528655687968957","","B","","","","266",""
"BHP","2013-03-01","00:00:00.000","ENTER","37.000","100","0","3700","","0","6239528655687846811","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","37.000","40","0","1480","","0","6239528655688013510","","B","","","","266",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.950","250","0","9237.5","","0","6239528655686433776","","B","","","","406",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.950","500","0","18475","","0","6239528655687988080","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.950","1000","0","36950","","0","6239528655688027375","","B","","","","144",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.950","3000","0","110850","","0","6239528655688035092","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.940","2000","0","73880","","0","6239528655687882341","","B","","","","144",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.910","1000","0","36910","","0","6239134480767015834","","B","","","","144",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.910","3000","0","110730","","0","6239528655688036194","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.900","50000","0","1845000","","0","6239528655688021189","","B","","","","297",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.880","1000","0","36880","","0","6239528655687555578","","B","","","","406",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.870","1000","0","36870","","0","6239528655687606082","","B","","","","289",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.860","1000","0","36860","","0","6239528655687472967","","B","","","","678",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.850","1000","0","36850","","0","6239528655687473539","","B","","","","678",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.850","6000","0","221100","","0","6239528655687574378","","B","","","","244",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.840","100","0","3684","","0","6239528655686698698","","B","","","","122",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.830","500","0","18415","","0","6239528655687201478","","B","","","","289",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.810","10000","0","368100","","0","6239528655686172421","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.800","17","0","625.6","","0","6239528655685530748","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.800","700","0","25760","","0","6239528655685571572","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.800","500","0","18400","","0","6239528655685573930","","B","","","","266",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.800","1000","0","36800","","0","6239528655687241346","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.800","300","0","11040","","0","6239528655687456727","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.800","543","0","19982.4","","0","6239528655687523632","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.750","250","0","9187.5","","0","6239528655685531876","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.750","275","0","10106.25","","0","6239528655685532018","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.750","250","0","9187.5","","0","6239528655685571464","","B","","","","140",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.750","3000","0","110250","","0","6239528655685773478","","B","","","","266",""
"BHP","2013-03-01","00:00:00.000","ENTER","36.750","1000","0","36750","","0","6239528655687241183","","B","","","","140",""
