Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
"BHP","2013-03-15","00:00:00.000","ENTER","35.080","1000","0","35080","","0","6245081189407525023","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.080","520","0","18241.6","","0","6245081189407900536","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.080","500","0","17540","","0","6245081189407511892","","B","","","","122",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.070","1000","0","35070","","0","6245081189408842423","","B","","","","638",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","114","0","3995.7","","0","6241508326371387730","","B","","","","122",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","500","0","17525","","0","6241508326372703796","","B","","","","406",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","700","0","24535","","0","6241905250068973254","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","1000","0","35050","","0","6243783215931557689","","B","","","","638",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","150","0","5257.5","","0","6245081189407118107","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","200","0","7010","","0","6245081189407398061","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","1000","0","35050","","0","6245081189407526119","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","285","0","9989.25","","0","6245081189408377482","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","150","0","5257.5","","0","6245081189408805649","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.050","400","0","14020","","0","6245081189408832630","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.040","2000","0","70080","","0","6241033612227574985","","B","","","","638",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.040","400","0","14016","","0","6241905250071996206","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.030","400","0","14012","","0","6244278545919347198","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.030","570","0","19967.1","","0","6245081189407253846","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.030","5","0","175.15","","0","6245081189408438295","","B","","","","122",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.020","1500","0","52530","","0","6241508326371715677","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.020","1000","0","35020","","0","6241508326374105588","","B","","","","144",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.020","150","0","5253","","0","6245081189407535842","","B","","","","361",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.020","750","0","26265","","0","6245081189408267341","","B","","","","140",""
"BHP","2013-03-15","00:00:00.000","ENTER","35.010","8","0","280.08","","0","6241033612226099986","","B","","","","203",""
